iter	Passed	Remaining
505	679	663
506	680	661
507	681	659
508	682	658
509	683	656
510	684	655
511	685	653
512	686	652
513	687	650
514	689	648
515	690	647
516	690	645
517	691	643
518	693	642
519	694	640
520	695	639
521	696	637
522	697	635
523	698	634
524	699	632
525	700	631
526	701	629
527	702	627
528	703	626
529	704	624
530	705	623
531	706	621
532	707	620
533	708	618
534	709	616
535	710	615
536	711	613
537	713	612
538	713	610
539	714	609
540	716	607
541	717	606
542	718	604
543	719	602
544	720	601
545	721	599
546	722	598
547	723	596
548	724	594
549	725	593
550	726	591
551	727	590
552	728	588
553	729	587
554	730	585
555	731	584
556	732	582
557	733	580
558	734	579
559	735	577
560	736	576
561	737	574
562	738	573
563	739	571
564	740	570
565	741	568
566	742	567
567	743	565
568	744	564
569	745	562
570	746	560
571	747	559
572	748	557
573	749	556
574	750	555
575	751	553
576	752	551
577	753	550
578	754	548
579	755	547
580	756	545
581	757	544
582	758	542
583	759	541
584	760	539
585	761	538
586	762	536
587	763	535
588	765	533
589	766	532
590	767	530
591	768	529
592	769	527
593	770	526
594	771	524
595	772	523
596	773	522
597	774	520
598	775	519
599	776	517
600	777	516
601	778	514
602	779	513
603	780	511
604	781	510
605	782	508
606	783	507
607	784	505
608	785	504
609	786	502
610	787	501
611	788	500
612	789	498
613	790	497
614	791	495
615	792	494
616	793	492
617	794	491
618	795	489
619	796	488
620	797	486
621	798	485
622	799	483
623	800	482
624	801	480
625	802	479
626	803	477
627	804	476
628	805	475
629	806	473
630	807	472
631	808	470
632	809	469
633	810	467
634	811	466
635	812	465
636	813	463
637	814	462
638	815	460
639	816	459
640	817	457
641	818	456
642	819	454
643	820	453
644	821	452
645	822	450
646	823	449
647	824	447
648	825	446
649	826	444
650	827	443
651	828	442
652	829	440
653	830	439
654	831	437
655	832	436
656	833	435
657	834	433
658	835	432
659	836	430
660	837	429
661	838	428
662	839	426
663	840	425
664	841	424
665	842	422
666	843	421
667	844	419
668	845	418
669	846	417
670	847	415
671	848	414
672	849	412
673	850	411
674	851	410
675	852	408
676	853	407
677	854	405
678	855	404
679	856	403
680	857	401
681	858	400
682	859	399
683	860	397
684	861	396
685	862	394
686	863	393
687	864	392
688	865	390
689	866	389
690	868	388
691	869	386
692	869	385
693	871	384
694	872	382
695	873	381
696	874	380
697	875	378
698	876	377
699	877	375
700	878	374
701	879	373
702	880	371
703	881	370
704	882	369
705	883	367
706	884	366
707	885	365
708	886	363
709	887	362
710	888	361
711	889	359
712	891	358
713	892	357
714	893	355
715	894	354
716	895	353
717	896	352
718	897	350
719	898	349
720	899	348
721	900	346
722	901	345
723	902	344
724	903	342
725	904	341
726	905	340
727	906	338
728	907	337
729	908	336
730	909	334
731	910	333
732	911	332
733	912	330
734	913	329
735	914	328
736	915	326
737	916	325
738	917	324
739	918	322
740	919	321
741	920	319
742	921	318
743	922	317
744	923	315
745	923	314
746	924	313
747	925	311
748	927	310
749	927	309
750	928	307
751	929	306
752	930	305
753	931	303
754	932	302
755	933	301
756	934	299
757	935	298
758	936	297
759	936	295
760	938	294
761	939	293
762	940	292
763	941	290
764	942	289
765	943	288
766	944	286
767	945	285
768	945	284
769	947	282
770	948	281
771	949	280
772	950	279
773	951	277
774	952	276
775	953	275
776	954	273
777	955	272
778	956	271
779	957	269
780	957	268
781	959	267
782	959	266
783	961	264
784	962	263
785	963	262
786	964	260
787	965	259
788	966	258
789	967	257
790	968	255
791	969	254
792	970	253
793	971	251
794	972	250
795	973	249
796	974	248
797	975	246
798	976	245
799	977	244
800	978	243
801	979	241
802	980	240
803	981	239
804	982	238
805	983	236
806	984	235
807	985	234
808	986	232
809	987	231
810	988	230
811	989	229
812	990	227
813	991	226
814	992	225
815	993	224
816	994	222
817	995	221
818	996	220
819	997	218
820	998	217
821	999	216
822	1000	215
823	1000	213
824	1002	212
825	1003	211
826	1004	210
827	1005	208
828	1006	207
829	1007	206
830	1008	205
831	1009	203
832	1011	202
833	1012	201
834	1013	200
835	1013	198
836	1015	197
837	1016	196
838	1017	195
839	1018	193
840	1019	192
841	1020	191
842	1021	190
843	1022	188
844	1023	187
845	1024	186
846	1025	185
847	1026	183
848	1027	182
849	1028	181
850	1029	180
851	1030	178
852	1031	177
853	1032	176
854	1033	175
855	1034	174
856	1035	172
857	1036	171
858	1037	170
859	1038	169
860	1039	167
861	1040	166
862	1041	165
863	1042	164
864	1043	162
865	1044	161
866	1045	160
867	1046	159
868	1047	157
869	1048	156
870	1049	155
871	1050	154
872	1051	153
873	1052	151
874	1053	150
875	1054	149
876	1056	148
877	1058	147
878	1060	146
879	1063	144
880	1065	143
881	1067	142
882	1069	141
883	1070	140
884	1072	139
885	1076	138
886	1079	137
887	1080	136
888	1081	135
889	1082	133
890	1083	132
891	1084	131
892	1086	130
893	1087	128
894	1088	127
895	1089	126
896	1091	125
897	1093	124
898	1094	122
899	1095	121
900	1096	120
901	1097	119
902	1098	118
903	1099	116
904	1100	115
905	1101	114
906	1103	113
907	1104	111
908	1105	110
909	1105	109
910	1106	108
911	1108	106
912	1109	105
913	1110	104
914	1111	103
915	1111	101
916	1112	100
917	1114	99
918	1115	98
919	1116	97
920	1117	95
921	1118	94
922	1119	93
923	1120	92
924	1121	90
925	1122	89
926	1123	88
927	1124	87
928	1125	86
929	1126	84
930	1127	83
931	1128	82
932	1129	81
933	1131	79
934	1132	78
935	1133	77
936	1134	76
937	1135	75
938	1136	73
939	1137	72
940	1138	71
941	1139	70
942	1140	68
943	1141	67
944	1142	66
945	1143	65
946	1144	64
947	1145	62
948	1146	61
949	1147	60
950	1148	59
951	1149	57
952	1150	56
953	1151	55
954	1152	54
955	1153	53
956	1154	51
957	1155	50
958	1156	49
959	1157	48
960	1158	47
961	1160	45
962	1161	44
963	1161	43
964	1162	42
965	1164	40
966	1165	39
967	1166	38
968	1167	37
969	1168	36
970	1169	34
971	1170	33
972	1171	32
973	1172	31
974	1173	30
975	1174	28
976	1175	27
977	1176	26
978	1177	25
979	1178	24
980	1179	22
981	1181	21
982	1182	20
983	1183	19
984	1184	18
985	1185	16
986	1186	15
987	1188	14
988	1188	13
989	1189	12
990	1190	10
991	1191	9
992	1193	8
993	1194	7
994	1195	6
995	1195	4
996	1197	3
997	1198	2
998	1199	1
999	1200	0
